group,seam,n_crops,n_overlap,factor,median_abs_rel,p90_abs_rel,mean_signed_rel
g7,p14,5,28,0.9968668242296529,0.0007565320815733219,0.0007565320815733774,0.0004621017048463476
g7,p15,5,26,0.9126722100259874,0.01726751128051361,0.08445923984753767,0.00229662487445455
g7,p16,5,28,0.912650872637285,2.3379027506345337e-05,2.3379027506407123e-05,-0.0010332957577067058
g7,p17,5,27,0.8939716950863847,0.02046694756004893,0.051652518938277166,0.0015989850646475749
g7,p18,5,27,0.894618176194553,0.0007231561264428613,0.000723156126442901,-3.542714609665967e-05
g7,p19,5,27,0.9309137406848353,0.04057101169649068,0.04087200981733355,0.0051233343445118845
g8,p02,5,28,0.9356340288924558,0.005888844301765728,0.011459473063671522,-0.0008772781686501929
g8,p03,4,26,0.9355850463105843,5.2352287709690724e-05,5.2352287709787855e-05,-6.677060722112306e-05
g8,p04,4,28,0.9506604032956917,0.00294731217899691,0.011022918835088968,0.00017373252266865766
g8,p05,4,27,1.0182906966381466,0.005723366673370416,0.009401037339923467,-8.637029055981395e-05
g8,p06,5,27,1.1569575646965018,0.005845901910290039,0.012252402266648392,0.008018260845162824
g8,p07,5,27,1.1705212257865667,0.007012061767460519,0.01172355970862516,-0.0005435520861941998
g8,p08,5,27,1.482577018318132,0.006209616858567593,0.04586855499865893,0.0003858241022100764
g8,p09,5,27,1.4824701080542588,7.211110286492494e-05,7.211110286500096e-05,-0.00012280008730139837
g8,p10,5,27,1.2372614340254389,0.006435090596913934,0.012675179149902899,-0.0009067823083844453
g8,p11,5,27,1.0160525564354865,0.005071428549222439,0.014480960388940717,0.0004189963671595038
g8,p12,5,27,1.2953666120979805,0.006500938538048301,0.013339828468570932,-0.00034482083226012916
g8,p13,5,27,1.2955057026691128,0.00010737544864386458,0.00010737544864394599,-6.168275266062086e-07
g8,p14,5,28,1.3481008266598349,0.011431765457888,0.01740105539076471,0.0008062187475151399
g8,p15,5,26,1.3481624372647643,4.570177816894992e-05,4.5701778169051056e-05,6.400759344243672e-05
g8,p16,5,28,1.5514397483627966,0.007028667242056747,0.018521738008264794,-1.0916439116505882e-06
g8,p17,5,27,1.5515928483209755,9.868250335891671e-05,9.868250335897957e-05,7.727460571224763e-05
g8,p18,5,27,1.795564582742116,0.008875490052047009,0.025183151176322905,0.0007345181071041114
g8,p19,5,27,1.7956151546583152,2.81649107390841e-05,2.816491073917832e-05,0.0001382987650069133
g9,p02,5,28,0.9355503237198352,0.014361518127278112,0.06444967628016482,-0.0022780509103976264
g9,p03,4,26,0.9356514192353924,0.00010805994396463991,0.0001080599439647027,-0.0007105520506562478
g9,p04,4,28,0.9053873486428732,0.019776392620108055,0.07377531619813114,0.0034800339668818684
g9,p05,5,27,0.9053340145821602,5.89074508196912e-05,5.890745081979218e-05,0.00045037342891676203
g9,p06,5,27,1.15695158223506,0.02234230778926739,0.03831640634847473,0.00047199594846931666
g9,p07,5,27,1.1664396670490935,0.008200935077770425,0.008716334849805642,0.002024048055386426
g9,p08,5,27,1.4654676829101214,0.027930588406193637,0.0630735145055508,-0.001106849858189023
g9,p09,5,27,1.4649686007131817,0.0003405617215308702,0.0003405617215309743,0.00027267928725547284
g9,p10,5,27,1.1972039413098199,0.021526963723823442,0.04657483385776476,0.0004123364432394982
g9,p11,5,27,1.0131868826185568,0.020080273426122664,0.05524319350431339,0.0027075247184181095
g9,p12,5,27,1.2898574516616073,0.016264375380131164,0.038251803848148,0.0026301002865622572
g9,p13,5,27,1.28966659186319,0.00014796968313932437,0.00014796968313940536,2.949342610735514e-05
g9,p14,5,28,1.341907125366155,0.029169801621162506,0.04050700687492634,0.0030529189712473464
g9,p15,5,26,1.3418741672500591,2.4560653619626612e-05,2.4560653619711478e-05,-0.00012748095014996418
g9,p16,5,28,1.5409197612024963,0.015713694338623387,0.043054980606995044,0.002235793957377861
g9,p17,5,27,1.5414703150401716,0.0003572891019618623,0.0003572891019619199,-6.61456338218883e-07
g9,p18,6,27,1.7867856487701903,0.024148827682792945,0.07293052803391256,-0.0040682201626790395
g9,p19,6,53,1.7867856487701903,0.002664698227066813,0.05151749905662492,-0.0016628573390662883
