date,crop,model,horizon,forecast
2026-03-22,Zucchini,SeasonalNaive,12,3.0078119412953983
2026-03-29,Zucchini,SeasonalNaive,13,3.0078119412953983
2026-01-04,Okra,SeasonalNaive,1,1.1203523537978444
2026-01-11,Okra,SeasonalNaive,2,1.1203523537978444
2026-01-18,Okra,SeasonalNaive,3,1.1203523537978444
2026-01-25,Okra,SeasonalNaive,4,1.1203523537978444
2026-02-01,Okra,SeasonalNaive,5,1.1203523537978444
2026-02-08,Okra,SeasonalNaive,6,1.1203523537978444
2026-02-15,Okra,SeasonalNaive,7,1.4938031383971262
2026-02-22,Okra,SeasonalNaive,8,1.1203523537978444
2026-03-01,Okra,SeasonalNaive,9,1.1203523537978444
2026-03-08,Okra,SeasonalNaive,10,1.1203523537978444
2026-03-15,Okra,SeasonalNaive,11,1.4938031383971262
2026-03-22,Okra,SeasonalNaive,12,1.4938031383971262
2026-03-29,Okra,SeasonalNaive,13,1.4938031383971262
2026-01-04,Sugarcane,SeasonalNaive,1,1.1203523537978444
2026-01-11,Sugarcane,SeasonalNaive,2,1.1203523537978444
2026-01-18,Sugarcane,SeasonalNaive,3,1.1203523537978444
2026-01-25,Sugarcane,SeasonalNaive,4,1.1203523537978444
2026-02-01,Sugarcane,SeasonalNaive,5,1.1203523537978444
2026-02-08,Sugarcane,SeasonalNaive,6,1.1203523537978444
2026-02-15,Sugarcane,SeasonalNaive,7,1.1203523537978444
2026-02-22,Sugarcane,SeasonalNaive,8,1.1203523537978444
2026-03-01,Sugarcane,SeasonalNaive,9,1.1203523537978444
2026-03-08,Sugarcane,SeasonalNaive,10,1.1203523537978444
2026-03-15,Sugarcane,SeasonalNaive,11,1.1203523537978444
2026-03-22,Sugarcane,SeasonalNaive,12,1.1203523537978444
2026-03-29,Sugarcane,SeasonalNaive,13,1.1203523537978444
2026-01-04,Rosemary,SeasonalNaive,1,2.614155492194971
2026-01-11,Rosemary,SeasonalNaive,2,2.614155492194971
2026-01-18,Rosemary,SeasonalNaive,3,2.2407047075956887
2026-01-25,Rosemary,SeasonalNaive,4,2.2407047075956887
2026-02-01,Rosemary,SeasonalNaive,5,2.614155492194971
2026-02-08,Rosemary,SeasonalNaive,6,2.614155492194971
2026-02-15,Rosemary,SeasonalNaive,7,2.614155492194971
2026-02-22,Rosemary,SeasonalNaive,8,2.614155492194971
2026-03-01,Rosemary,SeasonalNaive,9,2.614155492194971
2026-03-08,Rosemary,SeasonalNaive,10,2.614155492194971
2026-03-15,Rosemary,SeasonalNaive,11,2.9876062767942524
2026-03-22,Rosemary,SeasonalNaive,12,2.614155492194971
2026-03-29,Rosemary,SeasonalNaive,13,2.614155492194971
2026-01-04,Citrus Fruit,SeasonalNaive,1,11.361579890481384
2026-01-11,Citrus Fruit,SeasonalNaive,2,10.982860560798668
2026-01-18,Citrus Fruit,SeasonalNaive,3,10.604141231115957
2026-01-25,Citrus Fruit,SeasonalNaive,4,11.361579890481384
2026-02-01,Citrus Fruit,SeasonalNaive,5,10.604141231115957
2026-02-08,Citrus Fruit,SeasonalNaive,6,10.982860560798668
2026-02-15,Citrus Fruit,SeasonalNaive,7,10.604141231115957
2026-02-22,Citrus Fruit,SeasonalNaive,8,10.225421901433243
2026-03-01,Citrus Fruit,SeasonalNaive,9,9.846702571750532
2026-03-08,Citrus Fruit,SeasonalNaive,10,10.982860560798668
2026-03-15,Citrus Fruit,SeasonalNaive,11,10.604141231115957
2026-03-22,Citrus Fruit,SeasonalNaive,12,10.982860560798668
2026-03-29,Citrus Fruit,SeasonalNaive,13,10.225421901433243
2026-01-04,Plum,SeasonalNaive,1,1.5097548025721177
2026-01-11,Plum,SeasonalNaive,2,1.5097548025721177
2026-01-18,Plum,SeasonalNaive,3,1.1323161019290884
2026-01-25,Plum,SeasonalNaive,4,1.5097548025721177
2026-02-01,Plum,SeasonalNaive,5,1.5097548025721177
2026-02-08,Plum,SeasonalNaive,6,1.8871935032151472
2026-02-15,Plum,SeasonalNaive,7,1.5097548025721177
2026-02-22,Plum,SeasonalNaive,8,1.8871935032151472
2026-03-01,Plum,SeasonalNaive,9,1.8871935032151472
2026-03-08,Plum,SeasonalNaive,10,1.8871935032151472
2026-03-15,Plum,SeasonalNaive,11,1.8871935032151472
2026-03-22,Plum,SeasonalNaive,12,1.8871935032151472
2026-03-29,Plum,SeasonalNaive,13,1.8871935032151472
2026-01-04,Cauliflower,SeasonalNaive,1,3.0195096051442354
2026-01-11,Cauliflower,SeasonalNaive,2,3.396948305787265
2026-01-18,Cauliflower,SeasonalNaive,3,3.0195096051442354
2026-01-25,Cauliflower,SeasonalNaive,4,3.0195096051442354
2026-02-01,Cauliflower,SeasonalNaive,5,3.0195096051442354
2026-02-08,Cauliflower,SeasonalNaive,6,3.0195096051442354
2026-02-15,Cauliflower,SeasonalNaive,7,3.0195096051442354
2026-02-22,Cauliflower,SeasonalNaive,8,3.0195096051442354
2026-03-01,Cauliflower,SeasonalNaive,9,3.0195096051442354
2026-03-08,Cauliflower,SeasonalNaive,10,2.642070904501206
2026-03-15,Cauliflower,SeasonalNaive,11,2.642070904501206
2026-03-22,Cauliflower,SeasonalNaive,12,2.642070904501206
2026-03-29,Cauliflower,SeasonalNaive,13,2.642070904501206
2026-01-04,Walnut,SeasonalNaive,1,3.012471341833796
2026-01-11,Walnut,SeasonalNaive,2,2.6359124241045717
2026-01-18,Walnut,SeasonalNaive,3,3.012471341833796
2026-01-25,Walnut,SeasonalNaive,4,2.6359124241045717
2026-02-01,Walnut,SeasonalNaive,5,2.6359124241045717
2026-02-08,Walnut,SeasonalNaive,6,2.2593535063753465
2026-02-15,Walnut,SeasonalNaive,7,3.012471341833796
2026-02-22,Walnut,SeasonalNaive,8,3.012471341833796
2026-03-01,Walnut,SeasonalNaive,9,2.2593535063753465
2026-03-08,Walnut,SeasonalNaive,10,2.2593535063753465
2026-03-15,Walnut,SeasonalNaive,11,2.6359124241045717
2026-03-22,Walnut,SeasonalNaive,12,2.6359124241045717
2026-03-29,Walnut,SeasonalNaive,13,2.6359124241045717
2026-01-04,Coconut,SeasonalNaive,1,13.213647501159834
2026-01-11,Coconut,SeasonalNaive,2,12.836114715412412
2026-01-18,Coconut,SeasonalNaive,3,13.213647501159834
